Time_s,Layer_1_Temperature_C,Layer_2_Temperature_C,Layer_3_Temperature_C,Layer_4_Temperature_C,Layer_5_Temperature_C,Layer_6_Temperature_C,Layer_7_Temperature_C,Layer_8_Temperature_C,Layer_9_Temperature_C,Layer_10_Temperature_C
0,70,70,70,70,70,70,70,70,70,70
21.6108054,69.94390875,69.99837061,69.99839113,69.99839145,69.99839047,69.99838832,69.99838638,69.99840176,70.00148334,70.31344278
43.22161081,69.88939724,69.99844932,69.99846804,69.99846828,69.99846725,69.99846607,69.99849922,69.99959951,70.02626174,70.42025765
64.83241621,69.84585072,69.99854547,69.99856295,69.99856311,69.99856226,69.99856778,69.9987511,70.00239798,70.05468229,70.48725789
86.44322161,69.81213468,69.99864529,69.99866164,69.99866193,69.99866368,69.99870345,69.99930885,70.00718705,70.08510817,70.53971804
108.054027,69.78804258,69.99875009,69.99876554,69.99876714,69.99878212,69.99894215,70.00051664,70.01458671,70.11643886,70.57792971
129.6648324,69.76395047,69.9988549,69.99886944,69.99887234,69.99890056,69.99918085,70.00172443,70.02198636,70.14776956,70.61614138
151.2756378,69.74544976,69.99896505,69.99898017,69.99899201,69.99907316,69.99965657,70.00382305,70.03143025,70.1783963,70.64603249
172.8864432,69.73475628,69.99908269,69.99910042,69.99913188,69.9993214,70.00046324,70.00716552,70.04372848,70.20804011,70.66430565
194.4972486,69.7240628,69.99920033,69.99922067,69.99927174,69.99956965,70.0012699,70.01050799,70.05602672,70.23768393,70.68257881
216.108054,69.71336932,69.99931796,69.99934092,69.9994116,69.99981789,70.00207657,70.01385045,70.06832495,70.26732774,70.70085196
237.7188594,69.70267584,69.9994356,69.99946117,69.99955147,70.00006613,70.00288323,70.01719292,70.08062319,70.29697156,70.71912512
259.3296648,69.69667522,69.99956812,69.99961081,69.9997756,70.00058885,70.00451899,70.02248077,70.09519138,70.32341639,70.73029153
280.9404702,69.69473013,69.99971352,69.99978584,70.00007254,70.00134878,70.00687123,70.02944981,70.11172124,70.34709668,70.73531635
302.5512756,69.69278504,69.99985891,69.99996087,70.00036949,70.00210871,70.00922347,70.03641885,70.12825111,70.37077698,70.74034116
324.162081,69.69083995,70.00000431,70.0001359,70.00066644,70.00286864,70.01157571,70.04338789,70.14478097,70.39445727,70.74536598
345.7728864,69.68889486,70.0001497,70.00031093,70.00096339,70.00362857,70.01392796,70.05035693,70.16131084,70.41813757,70.7503908
367.3836918,69.68694977,70.00029509,70.00048597,70.00126034,70.0043885,70.0162802,70.05732597,70.1778407,70.44181786,70.75541562
388.9944972,69.68500468,70.00044049,70.000661,70.00155729,70.00514843,70.01863244,70.06429501,70.19437056,70.46549816,70.76044043
410.6053027,69.68549008,70.00063335,70.0009527,70.00217788,70.0067682,70.02291133,70.07424439,70.21199,70.48318121,70.76158212
432.2161081,69.68654946,70.00083743,70.00127195,70.00287489,70.00859103,70.02764522,70.08489763,70.22986676,70.49944792,70.76180675
453.8269135,69.68760885,70.00104151,70.00159121,70.00357191,70.01041387,70.03237912,70.09555086,70.24774352,70.51571463,70.76203138
475.4377189,69.68866824,70.00124559,70.00191046,70.00426893,70.0122367,70.03711301,70.1062041,70.26562027,70.53198135,70.76225601
497.0485243,69.68972763,70.00144967,70.00222971,70.00496595,70.01405953,70.04184691,70.11685734,70.28349703,70.54824806,70.76248064
518.6593297,69.69078702,70.00165374,70.00254897,70.00566297,70.01588236,70.0465808,70.12751057,70.30137379,70.56451477,70.76270526
